id, title, description, SKU, primaryBrand, daysToShip
100,Refined Cotton Gloves,"Dolores consequatur eaque laboriosam sed velit debitis. Nam et voluptas consequatur.",4489333,"Jakubowski Group", "Ships In 4 Business Days"
101,Practical Metal Soap,"Qui accusamus quam aut consequatur tempore iusto officiis explicabo. Delectus et excepturi ullam sint excepturi ducimus molestiae et. Hic optio delectus. Ea et expedita fugit rem ratione consequatur tempore cupiditate. Repellat facere distinctio aliquam veritatis consequatur. Inventore iusto eum velit.",1628583,"Daniel, Brekke and Murphy", "Ships In 9 Business Days"
102,Practical Fresh Pants,"Aperiam placeat saepe cumque itaque expedita repellendus omnis asperiores. Expedita facilis et unde et aut ea. Quasi harum et odio consequatur natus voluptatem et minus omnis.",1855670,"Parker - Wiegand", "Ships In 9 Business Days"
103,Licensed Plastic Chicken,"Natus veniam enim. Atque est praesentium eaque architecto facilis et corrupti blanditiis. Et perferendis quisquam.",7194852,"Funk Inc", "Ships In 3 Business Days"
104,Incredible Fresh Bacon,"Iusto temporibus ut quidem aut. Earum libero ex delectus sint.",494388,"Cremin and Sons", "Ships In 8 Business Days"
105,Refined Wooden Chips,"Qui minus illum ut vero consequuntur et. Voluptate voluptatum fugit odit accusantium autem quaerat debitis suscipit.",7967037,"Eichmann - Dach", "Ships In 3 Business Days"
106,Ergonomic Wooden Towels,"Unde quaerat optio neque reiciendis sit et in fugiat eum. Sed omnis quia distinctio necessitatibus rem aspernatur veniam.",6385411,"Lowe and Sons", "Ships In 5 Business Days"
107,Handmade Granite Chips,"Ratione et ut enim. Deleniti possimus similique et. Voluptatem eius aliquid quasi quisquam quam quo voluptatibus.",4226364,"Kovacek, Bauch and Cartwright", "Ships In 7 Business Days"
108,Refined Metal Keyboard,"Consequuntur dicta quisquam voluptatum. Et enim error libero. Quidem quia aliquam. Aperiam quaerat tenetur et aliquid suscipit omnis voluptas cum. Id ipsam nesciunt occaecati necessitatibus et dolores nobis et.",8542174,"Hermiston and Sons", "Ships In 4 Business Days"
109,Sleek Plastic Tuna,"Quo in deserunt et ut eius sunt. Enim quia unde ex explicabo ullam voluptates enim impedit dolores. Aspernatur doloribus et. Ex minus tenetur illo nihil quidem quasi quam quas commodi.",3372402,"Bartell, Huel and Cormier", "Ships In 6 Business Days"
110,Handmade Soft Fish,"Natus consequatur quis aut alias impedit. Odio neque aut rerum dolores quae. Consequuntur officia minus dignissimos eius magnam laborum fugit qui hic. Quis iste dolorum praesentium occaecati velit autem aut.",8553906,"Fahey and Sons", "Ships In 6 Business Days"
111,Fantastic Soft Sausages,"Et soluta assumenda omnis rerum velit illo distinctio. Dolore qui est aut temporibus ea veniam omnis et facilis.",9748910,"Kozey Group", "Ships In 2 Business Days"
112,Handcrafted Cotton Mouse,"Sed odio assumenda perspiciatis nemo sit itaque voluptas consequatur. Est in sit nemo repellendus ut. Aut dicta sit magnam animi soluta quo voluptatem modi. Et perspiciatis recusandae ex doloribus illo. Voluptatem quis culpa facere quod repellat esse id.",4733625,"Tillman - Jakubowski", "Ships In 0 Business Days"
113,Awesome Rubber Soap,"Ipsa ad rem hic sit iusto adipisci saepe qui. Libero vel alias harum fugit dolorem culpa. Eaque qui et vero. Quo porro veritatis laudantium sit nemo. Perspiciatis quia nam iusto esse dolor ut.",4509664,"Hauck - Olson", "Ships In 6 Business Days"
114,Ergonomic Soft Bacon,"Nobis hic magnam ut fuga doloremque dolores vero. Qui itaque quae totam alias. Placeat molestiae quidem.",1811331,"Kuphal - Larson", "Ships In 6 Business Days"
115,Refined Cotton Shoes,"Ullam dolorum delectus qui ipsum mollitia cumque. Recusandae vero rerum sequi eum in impedit. Nulla accusantium nisi est. A iure commodi autem repellendus sint perspiciatis.",163777,"Frami, Schumm and Leuschke", "Ships In 8 Business Days"
116,Small Plastic Ball,"Et voluptatem quia quia illum quas id soluta perspiciatis laudantium. Repellat veniam error ipsa quo. Modi sint modi vitae nihil tenetur odio magnam. Beatae quis facilis aut. Et adipisci atque ut eveniet beatae commodi sit aut. Quo voluptatem nobis labore delectus minus aliquid perferendis facilis eos.",1032975,"Schmidt, Connelly and Waters", "Ships In 4 Business Days"
117,Intelligent Frozen Bike,"Exercitationem quisquam qui atque nihil. Officia similique voluptatem necessitatibus at officia ea nulla suscipit. Molestiae dolores qui corrupti magni nemo non ut. Est sint perspiciatis et id voluptatem error. Atque omnis officiis officia ut. Voluptatem magni aliquam reprehenderit aut quo necessitatibus.",8595576,"Hoppe, Runolfsdottir and Willms", "Ships In 6 Business Days"
118,Unbranded Rubber Salad,"Nihil rem exercitationem odit error. Cumque aut fuga quos doloremque in et ullam. Rerum dignissimos non illo qui ipsum. Voluptate et aut dolores.",8388822,"Fritsch, Abshire and Yost", "Ships In 5 Business Days"
119,Tasty Granite Pizza,"Commodi non eum animi ut voluptatum doloremque aspernatur. Placeat est suscipit eum aut sit maxime. Sunt deserunt sunt ut ab occaecati occaecati. Quia sunt quia nesciunt dolorum vel. Magni accusantium maiores blanditiis.",8550095,"Stanton, Lind and Kunde", "Ships In 3 Business Days"
120,Handcrafted Granite Soap,"Eum labore aliquam ipsum id quia. Possimus earum corrupti vel. Modi in doloremque placeat aspernatur vel quam explicabo quasi amet. Fugit recusandae aut. In sint veritatis voluptatem. Nesciunt molestiae non temporibus et nisi et qui accusantium.",5183273,"Rempel - Schneider", "Ships In 1 Business Days"
121,Handmade Frozen Chips,"Velit at quasi culpa ut ad et. Qui quia eum eum voluptatem mollitia suscipit unde. Nemo et nisi in eum tempore dicta.",2509744,"Hammes - Simonis", "Ships In 6 Business Days"
122,Awesome Wooden Tuna,"Vitae dicta et sed perspiciatis. Ex quas deleniti voluptas quo officia. Laboriosam temporibus enim sit suscipit est voluptas a. Distinctio sit aliquam ea cupiditate nulla autem.",4884575,"Lesch - Klein", "Ships In 0 Business Days"
123,Licensed Plastic Shirt,"Repellat consequatur quia. Temporibus animi delectus et omnis impedit.",9843109,"Friesen, Abshire and Strosin", "Ships In 4 Business Days"
124,Ergonomic Soft Ball,"Ut earum cupiditate dolor. Qui aut temporibus cupiditate quod dolores numquam et eveniet. Id nihil debitis id reprehenderit veniam ea. Vero voluptatibus ea quia quam ut voluptas quisquam.",6268722,"Sawayn, Cummings and Cremin", "Ships In 4 Business Days"
125,Handcrafted Metal Sausages,"Ut sed exercitationem officia quia. Id ut eveniet vero aut error voluptas fugiat error doloribus. Quidem est atque aut dolore. Voluptate harum ipsum sapiente tenetur alias rerum. Quod non eum quod architecto inventore quos.",4723989,"Weissnat - Adams", "Ships In 9 Business Days"
126,Unbranded Metal Pants,"Mollitia repellat quia dolorum sequi delectus. Accusantium unde voluptatem mollitia. Quos molestiae ex molestias et ex rerum.",2543690,"Langosh Inc", "Ships In 5 Business Days"
127,Rustic Cotton Ball,"Commodi rem quae tempore earum et beatae expedita ea. Quia unde consectetur omnis nihil eius distinctio rerum iusto. Incidunt nihil consequatur quia aut fuga sint rerum inventore. Sed beatae autem. Non rerum voluptatem qui hic qui.",7430122,"Harber, Armstrong and Veum", "Ships In 7 Business Days"
128,Unbranded Concrete Pants,"Cupiditate reiciendis a doloremque odio minima velit id. Autem ea accusamus. Sed omnis vel molestias placeat. Reprehenderit provident eum ut sit esse cum dolorum. Qui velit ipsam tempore quo molestias.",8772899,"Dare - Romaguera", "Ships In 5 Business Days"
129,Incredible Cotton Mouse,"Quisquam maiores est et dolorum. Veritatis quisquam ullam ducimus. Sit labore eum ut.",39234,"Corwin LLC", "Ships In 9 Business Days"
130,Small Concrete Towels,"Et illum quis quidem dolor consectetur non molestias nulla sit. Qui ipsa vel et libero.",5450355,"Langworth - Keeling", "Ships In 3 Business Days"
131,Rustic Concrete Chicken,"Qui est possimus ut qui illum. Delectus corrupti totam dignissimos beatae ducimus in. Quidem non aut rerum quia consectetur. Qui voluptates perferendis ullam blanditiis.",6712927,"Langworth - Abernathy", "Ships In 0 Business Days"
132,Licensed Plastic Computer,"Quis magni odit. Voluptas temporibus quisquam odit dolorem esse. Iste ullam qui.",81999,"Rath, Cassin and Hyatt", "Ships In 0 Business Days"
133,Awesome Cotton Tuna,"Itaque est ut voluptatem recusandae ut quos corrupti consequatur. Et ut odit ab occaecati omnis nulla ipsa. Sed exercitationem et magni facilis quis ut molestias omnis hic. Ipsam id inventore in reiciendis. Qui deserunt et qui. Sed qui sit.",6798491,"Hudson Group", "Ships In 6 Business Days"
134,Generic Soft Mouse,"Autem ipsam reprehenderit accusamus. Eaque deserunt pariatur. Ut possimus eius reiciendis natus quos unde. Quia expedita quod veniam odit commodi harum possimus.",835045,"Schmeler - Bergstrom", "Ships In 6 Business Days"
135,Tasty Soft Hat,"Et iusto at. Aut ducimus saepe iure mollitia.",6498237,"Rippin Inc", "Ships In 3 Business Days"
136,Incredible Steel Chair,"Incidunt minus dolorem ut aut officiis eaque. Nam vel dolor ea voluptates nihil nemo delectus. Temporibus ratione molestiae nesciunt atque non sequi saepe. Est quis nesciunt aut quasi vel fugiat quae. Et illum vel consequuntur. Et saepe voluptatem cupiditate illo eveniet et id facilis.",8025315,"Labadie - Nitzsche", "Ships In 9 Business Days"
137,Rustic Concrete Shirt,"Distinctio eius voluptas non fugiat quas quos praesentium. Eum ipsam molestiae. Quia veritatis facere et nostrum accusamus.",9072683,"Mitchell, Skiles and Heathcote", "Ships In 9 Business Days"
138,Rustic Concrete Chair,"Nisi eum perferendis molestiae ab dolorum quo. Consectetur nihil sed. Nam adipisci explicabo ipsa totam ad corrupti aliquid inventore. Porro sint id quaerat impedit at esse dolore vel. Distinctio similique hic pariatur nostrum nemo nihil sunt. Exercitationem eaque molestiae dolor asperiores natus praesentium autem neque minus.",6780530,"Mohr LLC", "Ships In 1 Business Days"
139,Licensed Metal Table,"Fugiat maxime ducimus consequatur ut soluta. Sit excepturi doloribus vitae quam eum. Ut beatae aliquid reiciendis. Qui est necessitatibus quia ipsam et facere optio. Voluptates molestiae distinctio autem. Hic voluptate sunt quae.",5389891,"Hagenes - Marquardt", "Ships In 8 Business Days"
140,Unbranded Granite Ball,"Dolore et numquam enim repudiandae pariatur ut dolor qui odio. Est sapiente ut minima magnam mollitia ea natus sit sit. Nostrum exercitationem et nam sit ducimus possimus eum sint.",2810888,"Turcotte, Pfannerstill and Beahan", "Ships In 0 Business Days"
141,Practical Wooden Chicken,"Non sunt blanditiis nesciunt. Voluptas perferendis optio nam dolor blanditiis quia quia magnam. Autem assumenda autem temporibus ipsa deleniti minus molestiae.",1678213,"Gerhold - Quitzon", "Ships In 0 Business Days"
142,Fantastic Granite Pants,"Culpa laborum qui sunt qui consectetur earum. Facere rerum ex cum sapiente. Ad numquam commodi dolores ea illo. Qui unde ratione non reiciendis est vero. Molestiae qui itaque et aut ullam laboriosam. Molestiae quo soluta commodi ad dolorem repellendus sed deserunt.",2831784,"Macejkovic - Marquardt", "Ships In 4 Business Days"
143,Practical Metal Chair,"Et aperiam vel facilis. Nam illo suscipit omnis eum est.",8872381,"Schmeler - Wisoky", "Ships In 1 Business Days"
144,Gorgeous Frozen Bike,"Non enim nulla delectus qui aut nemo pariatur. Dolor et adipisci voluptas quasi quisquam quas. Consectetur voluptas in et id ad corporis ullam. Officiis qui itaque illo sed vel quia tempora officia.",7685846,"Raynor - Schroeder", "Ships In 3 Business Days"
145,Handmade Fresh Shirt,"Laboriosam sunt explicabo. Quaerat voluptatem voluptatem.",164688,"Mayer - Corkery", "Ships In 0 Business Days"
146,Practical Wooden Car,"Eveniet dolor quia quam facere nihil voluptas. Ut et quae qui tempore soluta nostrum alias. Nihil eligendi expedita velit nihil ut id consequatur incidunt. Culpa qui aliquid eius nemo eveniet aut. Rem fuga voluptatum soluta magni.",4265976,"Huels, Zulauf and Kessler", "Ships In 6 Business Days"
147,Gorgeous Plastic Pizza,"Cum tenetur id ut enim eveniet at cupiditate quaerat at. Nisi non et delectus voluptatem dolorum voluptates iure.",4121799,"Walter Inc", "Ships In 6 Business Days"
148,Handcrafted Plastic Keyboard,"Ipsa quis sequi labore fugiat. Aut aut et culpa ea necessitatibus. Vel dolor molestiae perferendis ut sed. Accusamus quasi quo iste reiciendis. Sunt adipisci impedit reprehenderit officia dolores cupiditate. Praesentium vero officiis.",3841741,"Ziemann - Cassin", "Ships In 5 Business Days"
149,Tasty Concrete Gloves,"Consectetur enim est aliquid delectus totam voluptas tempora fuga quo. Aut accusantium quis. Nam rerum deserunt. Soluta eum quia similique atque illum consectetur rerum delectus. Quidem est praesentium sunt ut dolores odio voluptas.",8868818,"Luettgen - Dickinson", "Ships In 6 Business Days"
